"SR_LN(R0)","Q_extraSD_Crucero(3)"
13.2126,0.26086
13.1685,0.260644
13.3674,0.386755
13.0881,0.243799
13.2846,0.353496
13.3008,0.21078
13.2753,0.269323
13.2518,0.23604
13.2879,0.284896
13.414,0.31762
13.147,0.327608
13.4429,0.320783
13.124,0.299129
13.052,0.177837
13.1885,0.349451
13.158,0.189475
13.2723,0.338529
13.3275,0.270439
13.1922,0.0857274
13.4013,0.309116
13.3316,0.297751
13.2666,0.22561
13.1895,0.25817
13.3637,0.18563
13.45,0.17681
13.2702,0.37126
13.3135,0.171432
13.2264,0.254241
13.381,0.375149
13.2614,0.284245
13.2723,0.31991
13.3415,0.38511
13.3164,0.395513
13.2991,0.425559
13.145,0.270686
13.175,0.297066
13.2179,0.426968
13.282,0.318871
13.2274,0.382604
13.4254,0.270849
13.1188,0.334954
13.2707,0.411539
13.4736,0.149074
13.4328,0.402013
13.2773,0.372328
13.4017,0.327241
13.4247,0.335211
13.2379,0.223489
13.4072,0.347845
13.2869,0.182954
13.3191,0.302324
13.2062,0.395711
13.2086,0.167637
13.3804,0.289022
13.4369,0.343148
13.2744,0.443554
13.243,0.218504
13.1715,0.135194
13.1977,0.30595
13.0332,0.15126
13.1152,0.320043
13.2789,0.234237
13.4867,0.235773
13.2426,0.266748
13.1158,0.224662
13.1177,0.220406
13.2296,0.279488
13.2416,0.321167
13.2108,0.244134
13.358,0.277081
13.3705,0.342062
13.2376,0.166887
13.3888,0.43115
13.2384,0.388325
13.1046,0.14528
13.1534,0.324387
13.106,0.397473
13.1612,0.287515
13.2847,0.376315
13.2347,0.262247
13.1802,0.328068
13.3834,0.237224
13.2343,0.40867
13.3428,0.261552
13.3092,0.383788
13.2143,0.210266
13.3473,0.199966
13.1773,0.497073
13.2748,0.363959
13.2051,0.382253
13.3617,0.332657
13.2786,0.464652
13.2703,0.350207
13.1511,0.263696
13.3735,0.297
13.3522,0.280988
13.3641,0.356947
13.5223,0.402126
13.291,0.330927
13.3253,0.356927
13.1255,0.375687
13.2288,0.362551
13.3952,0.199681
13.2245,0.457265
13.3339,0.471966
13.1478,0.133011
13.3191,0.399504
13.2333,0.333736
13.0421,0.265957
13.3351,0.250474
13.3817,0.31194
13.1793,0.263981
13.2733,0.156616
13.3059,0.115234
13.4565,0.257856
13.2044,0.279107
13.3695,0.243625
13.2133,0.105116
13.0637,0.253379
13.027,0.23048
13.3763,0.476694
13.2236,0.255183
13.0762,0.107597
13.2877,0.388963
13.4134,0.313504
13.2709,0.193169
13.4622,0.376115
13.3822,0.423837
13.2446,0.279997
13.3087,0.188746
13.2004,0.179798
13.2542,0.36828
13.1642,0.094701
13.2988,0.353909
13.2826,0.227642
13.2842,0.260492
13.369,0.389507
13.2872,0.228949
13.2336,0.151914
13.3712,0.394956
13.1841,0.324097
13.0999,0.0723181
13.1744,0.259914
13.3449,0.273826
13.1326,0.208213
13.1926,0.142035
13.198,0.261325
13.3139,0.395355
13.2496,0.436793
13.2807,0.486214
13.341,0.218585
13.2247,0.181896
13.3942,0.33648
13.2293,0.278903
13.1911,0.328928
13.3542,0.342134
13.3997,0.33179
13.1914,0.274625
13.2496,0.476108
13.1818,0.335827
13.2709,0.313187
13.2341,0.396748
13.2889,0.407008
13.2877,0.282371
13.4213,0.20055
13.4817,0.320779
13.3309,0.258233
13.2199,0.227583
13.2822,0.231465
13.287,0.380972
13.254,0.248248
13.2477,0.395616
13.2884,0.378393
13.3364,0.312343
13.264,0.374362
13.3576,0.208948
13.2814,0.219003
13.4579,0.323072
13.1129,0.130934
13.2701,0.188266
13.192,0.225479
13.3245,0.226986
13.2553,0.416335
13.2639,0.347499
13.1351,0.285084
13.171,0.449388
13.3157,0.487502
13.3956,0.407602
13.3098,0.346871
13.5096,0.475227
13.5489,0.369418
13.281,0.346706
13.0838,0.26574
13.4494,0.409048
13.1522,0.375339
13.1181,0.268114
13.3741,0.43433
13.1098,0.224037
13.2296,0.298501
13.2743,0.140681
13.3371,0.170793
13.314,0.309345
13.2437,0.186422
13.4639,0.323746
13.0601,0.21731
13.1476,0.245508
13.2978,0.316724
13.2306,0.233359
13.2995,0.273405
13.1957,0.260702
13.2225,0.47441
13.2888,0.307353
13.3571,0.236077
13.2422,0.476602
13.164,0.334689
13.2752,0.233139
13.3053,0.192777
13.3722,0.304771
13.1704,0.199921
13.1893,0.175358
13.2981,0.238557
13.1569,0.151309
13.1594,0.315426
13.3374,0.321313
13.2192,0.240634
13.1962,0.246751
13.1113,0.169973
13.3827,0.319335
13.4113,0.409457
13.1973,0.292416
13.3604,0.428912
13.1938,0.340134
13.1951,0.456421
13.0792,0.14388
13.2474,0.141287
13.3671,0.337871
13.2717,0.167665
13.23,0.424325
13.2866,0.34151
13.1559,0.274546
13.269,0.289905
13.1206,0.281561
13.1969,0.26607
13.1925,0.271889
13.2516,0.262428
13.2804,0.390834
13.102,0.227025
13.133,0.381248
13.1658,0.333353
13.2122,0.257971
